question_id,course,chapter,chapter_idx,question_text,opt_A,opt_B,opt_C,opt_D,correct_option,answer_text,difficulty,tags,rwanda_focus,explanation
CON-02-08-0078,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 8),Royalty split,Unbounded moral rights waivers can be risky for authors,Sample rate,Sync fee,B,Unbounded moral rights waivers can be risky for authors,hard,"contracts,key",False,Unbounded moral rights waivers can be risky for authors — Explanation: Unbounded moral rights waivers can be risky for authors.
CON-02-09-0079,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 9),Producer's personal bank account,Sync fee,Long automatic renewals without renegotiation are risky,Tax ID,C,Long automatic renewals without renegotiation are risky,hard,"contracts,key",False,Long automatic renewals without renegotiation are risky — Explanation: Long automatic renewals without renegotiation are risky.
CON-02-10-0080,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 10),Public domain status,Social media username,Lack of clear definition of deliverables is a concern,Tax ID,C,Lack of clear definition of deliverables is a concern,easy,"contracts,key",False,Lack of clear definition of deliverables is a concern — Explanation: Lack of clear definition of deliverables is a concern.
CON-03-01-0081,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 1)",Merch revenue,Exclusive territory,Social media username,Ask for a limited-term license instead of permanent assignment,D,Ask for a limited-term license instead of permanent assignment,hard,"contracts,negotiation",False,Ask for a limited-term license instead of permanent assignment — Explanation: Ask for a limited-term license instead of permanent assignment.
CON-03-02-0082,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 2)",Negotiate for clear royalty splits and audit rights,Sample rate,Ticket sales,Flat fee only,A,Negotiate for clear royalty splits and audit rights,easy,"contracts,negotiation",False,Negotiate for clear royalty splits and audit rights — Explanation: Negotiate for clear royalty splits and audit rights.
CON-03-03-0083,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 3)",Sponsorships,Audio bitrate,Flat fee only,Request advances with recoupment terms spelled out,D,Request advances with recoupment terms spelled out,easy,"contracts,negotiation",False,Request advances with recoupment terms spelled out — Explanation: Request advances with recoupment terms spelled out.
CON-03-04-0084,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 4)",Album art size,Public domain status,Use escrow to guarantee payment on milestone completion,Flat fee only,C,Use escrow to guarantee payment on milestone completion,easy,"contracts,negotiation",False,Use escrow to guarantee payment on milestone completion — Explanation: Use escrow to guarantee payment on milestone completion.
CON-03-05-0085,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 5)",Seek non-exclusive deals to retain freedom where possible,Force majeure,Audio bitrate,Public domain status,A,Seek non-exclusive deals to retain freedom where possible,medium,"contracts,negotiation",False,Seek non-exclusive deals to retain freedom where possible — Explanation: Seek non-exclusive deals to retain freedom where possible.
CON-03-06-0086,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 6)",Negotiate territory and duration carefully,Merch revenue,Collecting society name,ISWC,A,Negotiate territory and duration carefully,easy,"contracts,negotiation",False,Negotiate territory and duration carefully — Explanation: Negotiate territory and duration carefully.
CON-03-07-0087,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 7)",Force majeure,ISWC,Ask for reversion clauses after a term if rights are assigned,Exclusive territory,C,Ask for reversion clauses after a term if rights are assigned,hard,"contracts,negotiation",False,Ask for reversion clauses after a term if rights are assigned — Explanation: Ask for reversion clauses after a term if rights are assigned.
CON-03-08-0088,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 8)",Social media username,Request proper credits and publicity commitments,Exclusive territory,Sponsorships,B,Request proper credits and publicity commitments,hard,"contracts,negotiation",False,Request proper credits and publicity commitments — Explanation: Request proper credits and publicity commitments.
CON-03-09-0089,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 9)",Bank's interest rate,Bring a lawyer or an experienced manager to review deals,Tax ID,Social media username,B,Bring a lawyer or an experienced manager to review deals,easy,"contracts,negotiation",False,Bring a lawyer or an experienced manager to review deals — Explanation: Bring a lawyer or an experienced manager to review deals.
CON-03-10-0090,Contracts & Negotiation,Negotiation Tactics,3,"If offered a flat fee with no royalties, which negotiation is reasonable? (Question 10)",Territory clause,Use benchmarks and performance milestones in agreements,Social media username,Audio bitrate,B,Use benchmarks and performance milestones in agreements,easy,"contracts,negotiation",False,Use benchmarks and performance milestones in agreements — Explanation: Use benchmarks and performance milestones in agreements.
DIG-01-01-0091,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 1),Broadcast license,ISRC uniquely identifies recordings helping royalty tracking,Non-disclosure,Streaming count,B,ISRC uniquely identifies recordings helping royalty tracking,easy,"digital,streaming",False,ISRC uniquely identifies recordings helping royalty tracking — Explanation: ISRC uniquely identifies recordings helping royalty tracking.
DIG-01-02-0092,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 2),Territory clause,Collecting society name,Non-disclosure,Aggregators distribute content to multiple DSPs for a fee,D,Aggregators distribute content to multiple DSPs for a fee,medium,"digital,streaming",False,Aggregators distribute content to multiple DSPs for a fee — Explanation: Aggregators distribute content to multiple DSPs for a fee.
DIG-01-03-0093,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 3),Production credits only,"Platform payouts depend on region, subscription type and streams",Artist's hairstyle,Tax ID,B,"Platform payouts depend on region, subscription type and streams",medium,"digital,streaming",False,"Platform payouts depend on region, subscription type and streams — Explanation: Platform payouts depend on region, subscription type and streams."
DIG-01-04-0094,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 4),Bank's interest rate,Social media username,Playlisting can boost discovery and streaming revenue,Non-disclosure,C,Playlisting can boost discovery and streaming revenue,medium,"digital,streaming",False,Playlisting can boost discovery and streaming revenue — Explanation: Playlisting can boost discovery and streaming revenue.
DIG-01-05-0095,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 5),Public domain status,Streaming counts alone do not equal direct artist income,Territory clause,Royalty split,B,Streaming counts alone do not equal direct artist income,hard,"digital,streaming",False,Streaming counts alone do not equal direct artist income — Explanation: Streaming counts alone do not equal direct artist income.
DIG-01-06-0096,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 6),Artist's hairstyle,Streaming count,Territory clause,Understanding platform terms improves monetization choices,D,Understanding platform terms improves monetization choices,easy,"digital,streaming",False,Understanding platform terms improves monetization choices — Explanation: Understanding platform terms improves monetization choices.
DIG-01-07-0097,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 7),Uploading accurate metadata improves discoverability and payments,Live performance etiquette,Force majeure,Album art size,A,Uploading accurate metadata improves discoverability and payments,easy,"digital,streaming",False,Uploading accurate metadata improves discoverability and payments — Explanation: Uploading accurate metadata improves discoverability and payments.
DIG-01-08-0098,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 8),Exclusive releases can be negotiated for promotional support,Broadcast license,Force majeure,Mechanical rights body,A,Exclusive releases can be negotiated for promotional support,medium,"digital,streaming",False,Exclusive releases can be negotiated for promotional support — Explanation: Exclusive releases can be negotiated for promotional support.
DIG-01-09-0099,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 9),Collecting society name,Exclusive territory,Producer's personal bank account,DSP reporting cycles affect how and when royalties are paid,D,DSP reporting cycles affect how and when royalties are paid,medium,"digital,streaming",False,DSP reporting cycles affect how and when royalties are paid — Explanation: DSP reporting cycles affect how and when royalties are paid.
DIG-01-10-0100,Digital Distribution & Marketing,Streaming & Platforms,1,What identifier helps streaming platforms match a recording to its royalties? (Question 10),Social media username,Sponsorships,Producer's personal bank account,YouTube Content ID helps monetize video uses of audio,D,YouTube Content ID helps monetize video uses of audio,easy,"digital,streaming",False,YouTube Content ID helps monetize video uses of audio — Explanation: YouTube Content ID helps monetize video uses of audio.
DIG-02-01-0101,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 1),Merch revenue,Artist's hairstyle,Short-form video platforms can create viral exposure for songs,Collecting society name,C,Short-form video platforms can create viral exposure for songs,medium,"digital,social",False,Short-form video platforms can create viral exposure for songs — Explanation: Short-form video platforms can create viral exposure for songs.
DIG-02-02-0102,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 2),Consistent content and engagement drive follower growth,Genre label,Ticket sales,Royalty split,A,Consistent content and engagement drive follower growth,medium,"digital,social",False,Consistent content and engagement drive follower growth — Explanation: Consistent content and engagement drive follower growth.
DIG-02-03-0103,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 3),Merch revenue,Album art size,ISWC,Collaborations with influencers help reach new audiences,D,Collaborations with influencers help reach new audiences,easy,"digital,social",False,Collaborations with influencers help reach new audiences — Explanation: Collaborations with influencers help reach new audiences.
DIG-02-04-0104,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 4),Artist's hairstyle,Using platform analytics informs targeted campaign choices,Ticket sales,Tax ID,B,Using platform analytics informs targeted campaign choices,easy,"digital,social",False,Using platform analytics informs targeted campaign choices — Explanation: Using platform analytics informs targeted campaign choices.
DIG-02-05-0105,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 5),Flat fee only,Collecting society name,Hashtags and trends impact discoverability on social platforms,Ticket sales,C,Hashtags and trends impact discoverability on social platforms,hard,"digital,social",False,Hashtags and trends impact discoverability on social platforms — Explanation: Hashtags and trends impact discoverability on social platforms.
DIG-02-06-0106,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 6),Genre label,Public domain status,Merch revenue,Paid social campaigns can be cost-effective for promotion,D,Paid social campaigns can be cost-effective for promotion,hard,"digital,social",False,Paid social campaigns can be cost-effective for promotion — Explanation: Paid social campaigns can be cost-effective for promotion.
DIG-02-07-0107,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 7),Sync fee,Production credits only,Authentic storytelling helps build a loyal fanbase,Producer's personal bank account,C,Authentic storytelling helps build a loyal fanbase,medium,"digital,social",False,Authentic storytelling helps build a loyal fanbase — Explanation: Authentic storytelling helps build a loyal fanbase.
DIG-02-08-0108,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 8),Genre label,Repurposing content across platforms saves time and increases reach,Non-disclosure,Production credits only,B,Repurposing content across platforms saves time and increases reach,medium,"digital,social",False,Repurposing content across platforms saves time and increases reach — Explanation: Repurposing content across platforms saves time and increases reach.
DIG-02-09-0109,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 9),Local-language content resonates with regional audiences,Album art size,Sync fee,ISWC,A,Local-language content resonates with regional audiences,medium,"digital,social",False,Local-language content resonates with regional audiences — Explanation: Local-language content resonates with regional audiences.
DIG-02-10-0110,Digital Distribution & Marketing,Social Media & Growth,2,Which social approach can help a musician go viral locally? (Question 10),ISWC,Using metadata and links in bios improves streaming conversion,Non-disclosure,Collecting society name,B,Using metadata and links in bios improves streaming conversion,easy,"digital,social",False,Using metadata and links in bios improves streaming conversion — Explanation: Using metadata and links in bios improves streaming conversion.
DIG-03-01-0111,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 1),"Include composer, performer and ISRC in metadata for accurate crediting",Bank's interest rate,Force majeure,Social media username,A,"Include composer, performer and ISRC in metadata for accurate crediting",medium,"digital,digital",False,"Include composer, performer and ISRC in metadata for accurate crediting — Explanation: Include composer, performer and ISRC in metadata for accurate crediting."
DIG-03-02-0112,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 2),Exclusive territory,Use consistent artist name formatting across platforms,Broadcast license,Artist's hairstyle,B,Use consistent artist name formatting across platforms,medium,"digital,digital",False,Use consistent artist name formatting across platforms — Explanation: Use consistent artist name formatting across platforms.
DIG-03-03-0113,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 3),Set release dates and time zones carefully for global drops,Public domain status,Broadcast license,Bank's interest rate,A,Set release dates and time zones carefully for global drops,hard,"digital,digital",False,Set release dates and time zones carefully for global drops — Explanation: Set release dates and time zones carefully for global drops.
DIG-03-04-0114,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 4),Sync fee,Artist's hairstyle,Sample rate,Provide high-quality cover art meeting platform specs,D,Provide high-quality cover art meeting platform specs,medium,"digital,digital",False,Provide high-quality cover art meeting platform specs — Explanation: Provide high-quality cover art meeting platform specs.
DIG-03-05-0115,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 5),Provide correct publisher and copyright holder metadata,Streaming count,Mechanical rights body,Social media username,A,Provide correct publisher and copyright holder metadata,medium,"digital,digital",False,Provide correct publisher and copyright holder metadata — Explanation: Provide correct publisher and copyright holder metadata.
DIG-03-06-0116,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 6),Producer's personal bank account,Public domain status,Ensure split information for co-writers is recorded correctly,Artist's hairstyle,C,Ensure split information for co-writers is recorded correctly,hard,"digital,digital",False,Ensure split information for co-writers is recorded correctly — Explanation: Ensure split information for co-writers is recorded correctly.
DIG-03-07-0117,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 7),Register releases with performance and mechanical societies early,Royalty split,Social media username,Tax ID,A,Register releases with performance and mechanical societies early,medium,"digital,digital",False,Register releases with performance and mechanical societies early — Explanation: Register releases with performance and mechanical societies early.
DIG-03-08-0118,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 8),Use UPCs for album-level identification when needed,ISWC,Broadcast license,Streaming count,A,Use UPCs for album-level identification when needed,medium,"digital,digital",False,Use UPCs for album-level identification when needed — Explanation: Use UPCs for album-level identification when needed.
DIG-03-09-0119,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 9),Tax ID,Social media username,Bank's interest rate,Keep master and publishing ownership records organized,D,Keep master and publishing ownership records organized,medium,"digital,digital",False,Keep master and publishing ownership records organized — Explanation: Keep master and publishing ownership records organized.
DIG-03-10-0120,Digital Distribution & Marketing,Digital Releases & Metadata,3,Which metadata field is essential to credit songwriters correctly? (Question 10),Streaming count,ISWC,Test metadata on aggregator dashboards before release,Genre label,C,Test metadata on aggregator dashboards before release,hard,"digital,digital",False,Test metadata on aggregator dashboards before release — Explanation: Test metadata on aggregator dashboards before release.
